2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py", line 1024, in hf_hub_download\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     return fn(*args, **kwargs)\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/utils/_validators.py", line 89, in _inner_fn\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     hf_hub_download(  # type: ignore\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/_snapshot_download.py", line 429, in _inner_hf_hub_download\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     result = self.fn(*self.args, **self.kwargs)\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/lib/python3.11/concurrent/futures/thread.py", line 58, in run\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     raise self._exception\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/lib/python3.11/concurrent/futures/_base.py", line 401, in __get_result\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     return self.__get_result()\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/lib/python3.11/concurrent/futures/_base.py", line 456, in result\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     return fut.result(timeout)\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/lib/python3.11/concurrent/futures/_base.py", line 317, in _result_or_cancel\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     yield _result_or_cancel(fs.pop())\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |   File "/usr/lib/python3.11/concurrent/futures/_base.py", line 619, in result_iterator\n
2026-01-27  16:52:45.905 | info | 4p1sozwpapfp2k |     for obj in iterable:\n
